  Regionas 1: x=0, y=7, plotis=30, aukstis=64
  Regionas 2: x=10, y=33, plotis=4, aukstis=9
  Regionas 3: x=31, y=58, plotis=3, aukstis=8
  Regionas 4: x=93, y=7, plotis=21, aukstis=66
  Regionas 5: x=115, y=61, plotis=6, aukstis=6
  Regionas 6: x=124, y=61, plotis=6, aukstis=6
  Regionas 7: x=158, y=17, plotis=6, aukstis=51
  Regionas 8: x=164, y=52, plotis=8, aukstis=15
  Regionas 9: x=178, y=60, plotis=5, aukstis=7
  Regionas 10: x=188, y=49, plotis=10, aukstis=17
  Regionas 11: x=204, y=20, plotis=5, aukstis=46
  Regionas 12: x=210, y=50, plotis=6, aukstis=15
  Regionas 13: x=250, y=33, plotis=4, aukstis=32
  Regionas 14: x=256, y=55, plotis=4, aukstis=9
  Regionas 15: x=276, y=51, plotis=5, aukstis=12
  Regionas 16: x=301, y=33, plotis=4, aukstis=31
  Regionas 17: x=360, y=47, plotis=3, aukstis=17
  Regionas 18: x=368, y=36, plotis=6, aukstis=26
  Regionas 19: x=417, y=33, plotis=5, aukstis=32
  Regionas 20: x=460, y=50, plotis=3, aukstis=14
  Regionas 21: x=477, y=29, plotis=5, aukstis=39
  Regionas 22: x=539, y=49, plotis=3, aukstis=14
  Regionas 23: x=563, y=3, plotis=18, aukstis=69
  Regionas 24: x=622, y=31, plotis=5, aukstis=32
  Regionas 25: x=631, y=16, plotis=5, aukstis=53
  Regionas 26: x=635, y=33, plotis=10, aukstis=35
  Regionas 27: x=716, y=50, plotis=3, aukstis=14
  Regionas 28: x=746, y=34, plotis=4, aukstis=32
  Regionas 29: x=751, y=51, plotis=3, aukstis=14
  Regionas 30: x=796, y=35, plotis=7, aukstis=28
  Regionas 31: x=839, y=27, plotis=3, aukstis=39
  Regionas 32: x=844, y=49, plotis=5, aukstis=15
  Regionas 33: x=890, y=49, plotis=3, aukstis=14
  Regionas 34: x=927, y=26, plotis=4, aukstis=39
  Regionas 35: x=932, y=47, plotis=3, aukstis=17
  Regionas 36: x=977, y=24, plotis=5, aukstis=39
  Regionas 37: x=1008, y=26, plotis=4, aukstis=38
  Regionas 38: x=1070, y=47, plotis=6, aukstis=17
  Regionas 39: x=1101, y=17, plotis=4, aukstis=48
  Regionas 40: x=1105, y=31, plotis=3, aukstis=33
